JE_ID,JE_Type,Description,Entity,Account_Debit,Account_Credit,Amount,Reversing,Frequency,Notes
JE_ADJUST_Plant_US01_Detroit_2026M01_001,ADJUST,Monthly Payroll Accrual - January,Plant_US01_Detroit,SGA_Salaries,ACCR_Payroll,485000,Y,Monthly,Jan payroll accrual - 850 FTEs at avg $571/day x 22 working days remaining
JE_ADJUST_Plant_US01_Detroit_2026M01_002,ADJUST,Monthly Utility Accrual - January,Plant_US01_Detroit,MOH_Utilities,ACCR_Utilities,67500,Y,Monthly,Jan utility accrual - winter peak usage est. Electric $42K Gas $18K Water $7.5K
JE_ADJUST_Plant_US01_Detroit_2026M01_003,ADJUST,Monthly Interest Accrual - January,Plant_US01_Detroit,INT_LongTermDebt,ACCR_Interest,125000,Y,Monthly,Jan interest accrual - $30M term loan at 5.0% annual rate = $125K/month
JE_ADJUST_Plant_US01_Detroit_2026M01_004,ADJUST,Monthly Warranty Provision - January,Plant_US01_Detroit,MOH_Other,ACCR_Warranty,42000,N,Monthly,Jan warranty provision - 0.8% of $5.25M monthly revenue = $42K
JE_ADJUST_Plant_US01_Detroit_2026M01_005,ADJUST,Monthly Management Bonus Accrual - January,Plant_US01_Detroit,SGA_Benefits,ACCR_Other,95000,N,Monthly,Jan bonus accrual - $1.14M annual pool / 12 months = $95K
JE_ADJUST_Plant_US01_Detroit_2026M01_006,ADJUST,Inventory Obsolescence Reserve - January,Plant_US01_Detroit,UsageVariance,INV_Reserve,38500,N,Monthly,Jan inventory reserve - aging analysis identified $38.5K of slow-moving raw materials
JE_ADJUST_Plant_US01_Detroit_2026M01_007a,ADJUST,Standard Cost Reval - Raw Materials - January,Plant_US01_Detroit,PriceVariance,INV_RawMaterials,14200,N,Monthly,Jan std cost reval - steel prices 2.3% above standard cost
JE_ADJUST_Plant_US01_Detroit_2026M01_007b,ADJUST,Standard Cost Reval - Finished Goods - January,Plant_US01_Detroit,PriceVariance,INV_FinishedGoods,8100,N,Monthly,Jan std cost reval - finished goods labor component above standard
JE_ADJUST_Plant_US01_Detroit_2026M01_008,ADJUST,WIP True-Up Adjustment - January,Plant_US01_Detroit,EfficiencyVariance,INV_WIP,15800,N,Monthly,Jan WIP true-up - assembly stage actual hours 4.2% above standard
JE_ADJUST_Plant_US01_Detroit_2026M01_009,ADJUST,Over/Under Absorbed Overhead - January,Plant_US01_Detroit,SpendingVariance,VolumeVariance,31200,N,Monthly,Jan overhead absorption - $31.2K under-absorbed due to lower production volume
JE_RECLASS_Plant_US01_Detroit_2026M01_001,RECLASS,AR/AP Netting - Apex Industrial - January,Plant_US01_Detroit,AP_Trade,AR_Trade,156000,Y,Monthly,Jan AR/AP netting - Apex Industrial is both customer and vendor. Net $156K AP offset
JE_RECLASS_Plant_US01_Detroit_2026M01_002,RECLASS,LT Debt to Current Portion - January,Plant_US01_Detroit,LTD_TermLoan,CurrentPortionLTD,500000,Y,Monthly,Jan debt reclass - next 12 months principal payments on $30M term loan = $6M / 12
JE_RECLASS_Plant_US01_Detroit_2026M01_003a,RECLASS,Prepaid Insurance Amortization - January,Plant_US01_Detroit,MOH_Insurance,Prepaid_Insurance,18500,Y,Monthly,Jan prepaid insurance amort - $222K annual factory policy / 12 months
JE_RECLASS_Plant_US01_Detroit_2026M01_003b,RECLASS,Prepaid Rent Amortization - January,Plant_US01_Detroit,SGA_Rent,Prepaid_Rent,5200,Y,Monthly,Jan prepaid rent amort - office annex lease prepaid Q1 $15.6K / 3 months
JE_RECLASS_Plant_US01_Detroit_2026M01_003c,RECLASS,Prepaid Maintenance Amortization - January,Plant_US01_Detroit,MOH_PreventiveMaint,Prepaid_Maintenance,4300,Y,Monthly,Jan prepaid maint amort - CNC service contract $51.6K annual / 12 months
JE_ELIM_Elim_Americas_2026M01_001,ELIM,IC Revenue/COGS Elimination - Americas January,Elim_Americas,REV_IC_TransferSales,RawMaterials,1250000,N,Monthly,Jan IC elim - Detroit to Houston transfer sales of machined components
JE_ELIM_Elim_Americas_2026M01_002,ELIM,IC Service Revenue Elimination - Americas January,Elim_Americas,REV_IC_ServiceRevenue,SGA_Professional,87500,N,Monthly,Jan IC elim - Corporate IT services billed to Americas plants
JE_ELIM_Elim_Americas_2026M01_003,ELIM,IC Dividend Elimination - Americas January,Elim_Americas,OIE_InvestmentIncome,RE_CurrentYear,750000,N,Quarterly,Q1 IC dividend elim - Toronto subsidiary declared $750K dividend to US parent
JE_ELIM_Elim_Americas_2026M01_004,ELIM,IC Loan Interest Elimination - Americas January,Elim_Americas,OIE_InvestmentIncome,INT_LongTermDebt,45000,N,Monthly,Jan IC elim - Detroit to Monterrey IC loan $10.8M at 5.0% = $45K/month
JE_ELIM_Elim_Americas_2026M01_005,ELIM,IC Receivable/Payable Elimination - Americas January,Elim_Americas,AP_Intercompany,AR_Intercompany,2340000,N,Monthly,Jan IC elim - Net Americas IC receivable/payable balances
