JE_ID,JE_Type,Description,Entity,Account_Debit,Account_Credit,Amount,Reversing,Frequency,Notes
JE_ADJUST_Plant_US01_Detroit_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_US01_Detroit,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_US02_Houston_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_US02_Houston,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_US03_Charlotte_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_US03_Charlotte,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_CA01_Toronto_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_CA01_Toronto,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_MX01_Monterrey_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_MX01_Monterrey,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_DE01_Munich_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_DE01_Munich,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_DE02_Stuttgart_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_DE02_Stuttgart,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_UK01_Birmingham_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_UK01_Birmingham,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_FR01_Lyon_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_FR01_Lyon,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_CN01_Shanghai_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_CN01_Shanghai,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_CN02_Shenzhen_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_CN02_Shenzhen,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_JP01_Osaka_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_JP01_Osaka,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
JE_ADJUST_Plant_IN01_Pune_{Period}_009,ADJUST,Over/Under Absorbed Overhead,Plant_IN01_Pune,SpendingVariance,VolumeVariance,0,N,Monthly,Adjust for over/under absorbed manufacturing overhead - positive amount = under-absorbed
