JE_ID,JE_Type,Description,Entity,Account_Debit,Account_Credit,Amount,Reversing,Frequency,Notes
JE_RECLASS_Plant_US01_Detroit_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_US01_Detroit,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_US02_Houston_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_US02_Houston,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_US03_Charlotte_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_US03_Charlotte,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_CA01_Toronto_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_CA01_Toronto,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_MX01_Monterrey_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_MX01_Monterrey,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_DE01_Munich_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_DE01_Munich,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_DE02_Stuttgart_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_DE02_Stuttgart,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_UK01_Birmingham_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_UK01_Birmingham,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_FR01_Lyon_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_FR01_Lyon,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_CN01_Shanghai_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_CN01_Shanghai,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_CN02_Shenzhen_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_CN02_Shenzhen,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_JP01_Osaka_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_JP01_Osaka,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
JE_RECLASS_Plant_IN01_Pune_{Period}_002,RECLASS,LT Debt to Current Portion Reclass,Plant_IN01_Pune,LTD_TermLoan,CurrentPortionLTD,0,Y,Monthly,Reclassify portion of long-term debt maturing within 12 months to current - auto-reverses
